1boy,"1个男人,1男"
lady_bat,"女蝙蝠"
lady_maria_of_the_astral_clocktower,"星界钟楼的玛丽亚夫人"
ladybug,"瓢虫"
ladybug_(character),"瓢虫(字符)"
laegjarn_(fire_emblem),"laegjarn(火徽)"
laevatein_(fire_emblem),"laevatein(火徽)"
laevatein_(tail),"葵花素(尾巴)"
laevatein_(touhou),"laevatein(东方)"
laffey_(azur_lane),"拉菲(碧蓝航线)"
lafiel,"拉菲尔"
lafter_frankland,"弗兰克兰"
lagann,"拉甘"
laguna_loire,"拉古纳卢瓦尔河"
laharl,"拉哈尔"
laharl-chan,"拉哈尔陈"
lahmu_(fate),"拉穆(fate)"
lailah_(tales),"莱拉(故事)"
lain_paterson,"莱恩帕特森"
lainart,"莱纳特"
laios_thorden,"莱奥斯索登"
lake,"湖"
lakilolom,"拉基洛隆"
lala_(monster_musume),"啦啦(怪物娘们)"
lala_tramont,"拉拉特拉蒙"
lalafell,"拉拉菲尔"
lalala222,"拉拉拉222"
lam_(ramdayo),"林(ramdayo)"
lamb,"羊肉"
lamb-oic029,"羔羊-oic029"
lamb_(league_of_legends),"羔羊(英雄联盟)"
lambda_(kusowarota),"拉姆达(kusowarota)"
lambent_light,"发光灯"
lamborghini,"兰博基尼"
lamia,"喇嘛"
lamia_loveless,"拉米亚无爱"
lamp,"灯"
lamppost,"灯柱"
lampshade,"灯罩"
lan_hikari_(mega_man),"兰光(巨人)"
lan_mao_akko,"蓝猫阿可"
lana's_mother_(pokemon),"拉娜的妈妈(口袋妖怪)"
lana_(hyrule_warriors),"拉娜(海拉鲁战士)"
lana_(pokemon),"拉娜(宠物小精灵)"
lance,"长矛"
lance_(pokemon),"长矛(口袋妖怪)"
lancelot_(fate/grand_order),"lancelot(fate/大订单)"
lancelot_(fate/zero),"lancelot(fate/零)"
lancelot_(granblue_fantasy),"lancelot(碧蓝幻想)"
landing,"着陆"
landing_gear,"起落架"
landmark,"地标"
landolt_tamaki,"兰多尔特玉木"
landscape,"景观,风景"
lane_line,"车道线"
langbazi,"浪八子"
langley1000,"兰利1000"
langrisser,"朗格里瑟"
lansane,"兰桑"
lantern,"灯笼"
lantern_festival,"元宵节"
lantern_on_liquid,"液体灯笼"
lanxi_zhen,"兰溪镇"
lanyard,"挂在胸前的牌子,挂绳"
lao_jiu,"老酒"
lao_meng,"老孟"
laoan,"老安"
lap,"圈"
lap_cup,"酒倒在阴部"
lap_pillow,"膝枕"
lap_pillow_invitation,"膝枕请柬"
lapel,"翻领"
lapel_pin,"翻领别针"
laphicet_(tales),"laphicet(故事)"
lapis_lazuli_(houseki_no_kuni),"青金石(housekinokuni)"
lappland_(arknights),"拉普兰(方舟之夜)"
lappland_(refined_horrormare)_(arknights),"拉普兰(精致的恐怖梦魇)(方舟之夜)"
lapras,"拉普拉斯"
laptop,"笔记本电脑"
lara_croft,"劳拉克罗夫特"
larcei_(fire_emblem),"larcei(火徽)"
large_areolae,"大乳晕"
large_bow,"大弓"
large_breasts,"大乳房"
large_buttons,"大按钮"
large_ears,"大耳朵"
large_hands,"大手"
large_hat,"大帽子"
large_hips,"宽盆骨"
large_pectorals,"大胸"
large_penis,"大阴茎"
large_syringe,"大注射器"
large_tail,"大尾巴"
large_testicles,"大睾丸"
large_wings,"大翅膀"
larten_crepsley,"拉滕克雷普斯利"
larvitar,"幼虫"
larxene,"月桂烯"
las91214,"拉斯91214"
laser,"激光"
laser_sight,"激光瞄准器"
laserflip,"激光翻转"
lask,"拉斯克"
lass_(pokemon),"姑娘(口袋妖怪)"
lasso,"套索"
last_exile,"最后一次流放"
last_exile:_gin'yoku_no_fam,"最后流放：gin'yokunofam"
last_order_(toaru_majutsu_no_index),"最后的订单(toarumajutsunoindex)"
last_origin,"最后一个来源"
last_period,"上一期"
lasterk,"拉斯特克"
lasto,"最后"
latale,"拉塔莱"
late_for_school,"上学迟到"
latenight,"深夜"
latex,"胶衣,乳胶"
latex_bodysuit,"乳胶紧身连衣裤"
latex_boots,"乳胶靴"
latex_dress,"胶衣连衣裙,乳胶连衣裙"
latex_gloves,"乳胶手套"
latex_legwear,"胶袜,乳胶裤袜"
latex_leotard,"乳胶紧身衣"
latex_panties,"乳胶内裤"
latias,"拉蒂亚斯"
latifa_fleuranza,"拉蒂法弗莱兰萨"
latin_cross,"拉丁十字"
latin_text,"拉丁文"
latios,"纬度"
latooni_subota,"拉图尼苏贝塔"
latte_art,"拿铁艺术"
lattice,"格子"
laugh,"在笑的"
laundromat,"自助洗衣店"
laundry,"洗衣房"
laundry_basket,"洗衣篮"
laundry_dragonmaid,"洗衣龙女"
laundry_pole,"洗衣杆"
laura_bodewig,"劳拉·博德维希"
laura_kinney,"劳拉·金尼"
laura_la_mer,"劳拉·拉·梅尔"
laura_matsuda,"劳拉松田"
laura_s._arseid,"劳拉s.阿赛德"
laurel_crown,"桂冠,月桂冠"
lava_(arknights),"熔岩(方舟)"
lava_the_purgatory_(arknights),"熔岩炼狱(方舟之夜)"
lavelis,"拉维利斯"
lavender_(flower),"薰衣草(花)"
lavender_background,"薰衣草背景"
lavender_dress,"淡紫色连衣裙"
lavender_hair,"紫发"
lavender_panties,"薰衣草色内裤"
lavi,"拉维"
lavolpe_(yagisaka_seto),"lavolpe(八木坂濑户)"
lawson,"劳森"
layer_(mega_man),"层(巨人)"
layer_cake,"千层蛋糕"
layered_bikini,"分层比基尼"
layered_clothes,"分层衣服"
layered_dress,"有非常多层的连衣裙,分层连衣裙"
layered_gloves,"分层手套"
layered_kimono,"分层和服"
layered_legwear,"分层裤袜"
layered_shirt,"分层衬衫"
layered_skirt,"分层式半身裙,分层裙"
layered_sleeves,"多层袖子,分层的衣袖,分层袖子"
laying,"躺着"
layla_(idolmaster),"莱拉(偶像大师)"
layla_prismriver,"莱拉棱镜河"
lazulight,"镭射灯"
lazy_eye,"懒惰的眼睛"
lazy_lazy_(idolmaster),"懒懒(偶像大师)"
lazyprocrastinator,"懒惰的拖延者"
lcl,"拼箱"
ldl,"低密度脂蛋白"
le_malin_(azur_lane),"勒马林(蔚蓝车道)"
le_malin_(listless_lapin)_(azur_lane),"lemalin(无精打采的lapin)(azurlane)"
le_malin_(mercredi_at_the_secret_base)_(azur_lane),"lemalin(秘密基地的mercredi)(azurlane)"
le_malin_(sleepy_sunday)_(azur_lane),"lemalin(沉睡的星期天)(蔚蓝车道)"
le_temeraire_(azur_lane),"letemeraire(蔚蓝海岸)"
le_triomphant_(azur_lane),"letriomphant(碧蓝航线)"
lead_pipe,"铅管"
lead_white_(tsurunoka),"铅白(鹤之冈)"
leaf,"叶"
leaf-pattern_stripe,"叶纹条纹"
leaf_(pokemon),"叶(口袋妖怪)"
leaf_background,"叶背景"
leaf_bikini,"叶比基尼"
leaf_on_head,"头上的叶子"
leaf_painting,"树叶画"
leaf_print,"叶印"
leaf_umbrella,"叶伞"
leafeon,"叶子"
league_of_legends,"英雄联盟"
leander_(azur_lane),"瘦(碧蓝航线)"
leaning,"倚靠/身体倾斜"
leaning_back,"身体往后靠,向后靠"
leaning_forward,"向前倾,身体前驱,身体前倾"
leaning_on_object,"靠在物体上"
leaning_on_person,"靠人"
leaning_on_rail,"靠在铁轨上"
leaning_on_table,"靠在桌子上"
leaning_over,"俯身"
leaning_to_the_side,"向一侧倾斜身体,靠在一边"
learning_with_manga!_fgo,"用漫画学习！fgo"
leash,"宠物链,皮带"
leash_pull,"皮带拉力"
leather,"皮革"
leather_armor,"皮甲"
leather_boots,"皮靴"
leather_choker,"皮革项链"
leather_gloves,"皮手套"
leather_jacket,"皮夹克"
leather_pants,"皮裤"
leather_skirt,"皮裙"
leather_strap,"皮表带"
leather_suit,"皮衣"
leavanny,"利文尼"
leblanc_(league_of_legends),"leblanc(英雄联盟)"
lebring,"勒布林"
lecia_(granblue_fantasy),"lecia(碧蓝幻想)"
lectern,"讲台"
lee-enfield,"李恩菲尔德"
lee-enfield_(girls'_frontline),"lee-enfield(女子前线)"
lee_(colt),"李(小马)"
lee_(dragon_garou),"李(龙狼狗)"
lee_hoon,"李勋"
lee_hyeseung,"李惠升"
lee_ji-eun,"李智恩"
lee_sin,"李信"
leeron_littner,"莱伦·利特纳"
left-hand_drive,"左侧驾驶"
left-handed,"左撇子"
left-to-right_manga,"从左到右的漫画"
leg_armor,"腿甲"
leg_belt,"腿带"
leg_between_thighs,"大腿之间的腿"
leg_cutout,"裤袜有开口"
leg_garter,"腿部花边环"
leg_grab,"抓腿"
leg_hair,"腿毛"
leg_hold,"腿托"
leg_lift,"抬一只脚,抬腿"
leg_lock,"双腿缠绕,跨坐式,腿锁"
leg_ribbon,"腿丝带"
leg_tattoo,"腿部纹身"
leg_up,"单腿抬起,抬起腿"
leg_warmers,"暖腿套,腿套/暖腿袜,暖腿器"
leg_wings,"腿翼"
leg_wrap,"裹腿"
legacy_of_lunatic_kingdom,"疯狂王国的遗产"
legend_of_mana,"法力传说"
legend_of_the_cryptids,"神秘生物的传说"
legendary_super_saiyan,"传说中的超级赛亚人"
leggings,"不覆盖脚的连裤袜,紧身裤"
lego,"乐高"
legomaru,"乐高丸"
legs,"腿"
legs_apart,"大腿分开站立,双腿分开"
legs_folded,"双腿折叠"
legs_over_head,"双腿过头"
legs_together,"双腿并拢"
legs_up,"抬两只脚,双腿向上"
legskin,"腿皮"
legwear_garter,"裤袜吊袜带"
legwear_removed,"去除了裤袜"
legwear_under_shorts,"短裤穿在裤袜外面,短裤下的裤袜"
lei,"林雷"
lei_fang,"雷方"
lei_lei,"雷雷"
leia_rolando,"莱娅·罗兰多"
leila_malcal,"莱拉马尔卡尔"
leilan_(p&d),"雷兰(p&d)"
leilin,"雷林"
leina,"莱娜"
leiur_darahim,"leiur达拉欣"
leizi_(arknights),"雷子(方舟)"
lelouch_lamperouge,"鲁鲁修·兰佩鲁日"
lemon,"柠檬"
lemon_hair_ornament,"柠檬发饰"
lemon_print,"柠檬印花"
lemon_slice,"柠檬片"
lemonade,"柠檬水"
lemontea,"柠檬茶"
lemrina_vers_envers,"lemrina与envers"
len'en,"伦恩"
len_(hand_linke),"len(手动链接)"
len_(tsukihime),"len(月姬)"
lena_(zoal),"莉娜(zoal)"
lenalee_lee,"莉娜莉·李"
lene_(fire_emblem),"莱恩(火徽)"
leng_wa_guo,"冷娃果"
lenna_charlotte_tycoon,"伦娜夏洛特大亨"
lenneth_valkyrie,"伦尼斯·瓦尔基里"
lennon,"列侬"
lenora_(pokemon),"莱诺拉(宠物小精灵)"
lens_flare,"镜头光晕"
lens_flare_abuse,"镜头光晕滥用"
lens_flares,"镜头眩光"
leo/need_(project_sekai),"狮子座/需要(项目sekai)"
leo_(fire_emblem),"狮子座(火徽)"
leo_(mafuyu),"狮子座(mafuyu)"
leo_(senran_kagura),"狮子座(闪乱神乐)"
leo_de_la_iglesia,"利奥·德拉伊格莱西亚"
leo_kliesen,"利奥·克利森"
leogust,"法律"
leon_(mikiri_hassha),"莱昂(mikirihassha)"
leon_(pokemon),"莱昂(口袋妖怪)"
leon_s._kennedy,"莱昂河肯尼迪"
leona_(league_of_legends),"leona(英雄联盟)"
leona_heidern,"莱昂娜·海德恩"
leona_west,"莱昂娜·韦斯特"
leonardo_da_vinci_(fate),"莱昂纳多·达·芬奇(fate)"
leonardo_da_vinci_(rider)_(fate),"leonardodavinci(骑士)(fate)"
leonardo_da_vinci_(swimsuit_ruler)_(fate),"leonardodavinci(泳装统治者)(fate)"
leonardo_watch,"莱昂纳多手表"
leonat,"狮子座"
leone_abbacchio,"利昂阿巴基奥"
leonidas_(fate),"列奥尼达斯(fate)"
leonie_pinelli,"莱奥妮·皮内利"
leonmandala,"莱昂曼陀罗"
leonmitchelli_galette_des_rois,"莱昂米切利galettedesrois"
leopard,"豹"
leopard_(yatterman),"豹(亚特曼)"
leopard_boy,"豹子男孩"
leopard_ears,"豹耳"
leopard_girl,"豹女"
leopard_print,"豹纹"
leopard_tail,"豹尾"
leorio_paladiknight,"莱奥里奥骑士骑士"
leotard,"高叉连体紧身衣,體操服"
leotard_aside,"把连衣裤裆部剥到一边,除了紧身衣"
leotard_lift,"紧身衣升降机"
leotard_peek,"紧身衣偷看"
leotard_pull,"剥开连衣裤"
leotard_under_clothes,"内层穿着连衣裤,紧身衣下的衣服"
leria_v,"莱里亚v"
leslyzerosix,"莱斯利零六"
less,"少"
less_end,"少结束"
lesser_panda_(kemono_friends),"小熊猫(kemono朋友)"
letdie1414,"让迪1414"
lethe_(fire_emblem),"lethe(火徽)"
letter,"信"
letter_boxed,"宽银幕格式"
letterboxed,"信箱"
letterman_jacket,"棒球外套,莱特曼夹克"
lettuce,"生菜"
letty_whiterock,"莱蒂·怀特洛克"
levantine,"黎凡特"
lever_action,"杠杆作用"
levi_(shingeki_no_kyojin),"列维(shingekinokyojin)"
leviathan_(mega_man),"利维坦(巨人)"
leviathan_(skullgirls),"利维坦(骷髅女孩)"
leviathan_(umineko),"利维坦(umineko)"
levitation,"悬浮"
levy_mcgarden,"征收麦加登"
lewdamone,"卢达蒙"
lexaiduer,"词汇表"
lexington_(warship_girls_r),"列克星敦(军舰少女)"
leysritt_(fate),"莱斯特(fate)"
lgbt_pride,"lgbt骄傲"
li_meiling,"李美玲"
li_shuwen_(fate),"李书文(fate)"
li_shuwen_(young)_(fate),"李书文(年轻)(fate)"
li_xiaolang,"李小朗"
li_xingke,"李兴科"
liang_xing,"梁兴"
liar_lawyer,"骗子律师"
libeccio_(kancolle),"libeccio(舰娘)"
libiadan,"利比亚"
library,"图书馆"
library_of_ruina,"鲁纳图书馆"
libre,"自由"
license_plate,"车牌"
lich,"巫妖"
lichtenberg_figure,"利希滕贝格图"
licking,"舔"
licking_another's_cheek,"舔别人的脸颊"
licking_another's_face,"舔别人的脸"
licking_armpit,"舔腋窝"
licking_blade,"舔刀片"
licking_breast,"舔乳房"
licking_cum,"舔精液"
licking_ear,"舔耳朵"
licking_finger,"舔手指"
licking_foot,"舔脚"
licking_hand,"舔手"
licking_lips,"舔嘴唇"
licking_navel,"舔肚脐"
licking_neck,"舔脖子"
licking_nipple,"舔乳头"
licking_penis,"舔阴茎"
licking_testicle,"舔睾丸"
licking_weapon,"舔武器"
liclac,"紫丁香"
lid,"盖子"
liduke,"利杜克"
lie_ren,"谎言"
liechtenstein_(hetalia),"列支敦士登(黑塔利亚)"
lielos,"列洛斯"
liepard,"猎豹"
lieqi_hun,"列奇魂"
lieza_(arc_the_lad),"列萨(小伙子弧)"
life_fiber,"生命纤维"
life_vest,"救生衣"
lifebuoy,"救生圈"
lifebuoy_ornament,"救生圈装饰品"
lifeguard,"救生员"
lifeguard_chair,"救生员椅"
lifeline_(apex_legends),"生命线(顶点传奇)"
lifted_by_another,"被对方掀起衣物,被另一个人举起"
lifted_by_self,"掀起自己的衣物,自行举起"
lifting,"起重"
lifting_covers,"起重盖"
lifting_person,"起重人"
light,"光"
light_areolae,"浅色乳晕"
light_blue_background,"浅蓝色背景"
light_blue_hair,"浅蓝色发,浅蓝发,浅蓝色头发"
light_blush,"淡淡的腮红,浅腮红"
light_brown_background,"浅棕色背景"
light_brown_hair,"浅棕色头发"
light_bulb,"灯泡"
light_censor,"光检测器"
light_cruiser_princess,"轻巡洋舰公主"
light_frown,"轻皱眉"
light_green_hair,"浅绿色头发"
light_in_heart,"心中有光"
light_leaks,"漏光光效"
light_machine_gun,"轻机枪"
light_painting,"光影涂鸦"
light_particles,"光粒子"
light_persona,"轻松的角色"
light_purple_hair,"浅紫色头发"
light_rays,"光线"
light_switch,"电灯开关"
light_trail,"光迹"
light_trails,"光轨"
light_valkyrie_(p&d),"轻型女武神(p&d)"
lighter,"打火机"
lighthouse,"灯塔"
lighting_cigarette,"点烟"
lighting_effect,"闪电"
lightning_bolt_earrings,"闪电耳环"
lightning_bolt_hair_ornament,"闪电发饰"
lightning_bolt_print,"闪电印花"
lightning_bolt_symbol,"闪电符号"
lightning_farron,"闪电法伦"
lightning_glare,"闪电眩光"
lightsaber,"光剑"
lightsource,"光源"
ligne_claire,"克莱尔"
liita_(dusk_snow),"liita(黄昏雪)"
like_and_retweet,"喜欢并转发"
lila_decyrus,"紫丁香decyrus"
lilaccu,"丁香"
lili_(tekken),"莉莉(铁拳)"
lili_mdoki,"莉莉姆多基"
lilica_felchenerow,"百合felchenerow"
lilim_(monster_girl_encyclopedia),"莉莉姆(怪物少女百科全书)"
lilina_(fire_emblem),"莉莉娜(火徽)"
lilish,"莉莉丝"
lilith_(fire_emblem),"莉莉丝(火徽)"
lilith_(machikado_mazoku),"莉莉丝(machikadomazoku)"
lilith_(saikin_yatotta_maid_ga_ayashii),"莉莉丝(saikinyatotta女仆gaayashii)"
lilith_(yamibou),"莉莉丝(亚米布)"
lilith_aensland,"莉莉丝安斯兰"
lilith_aensland_(cosplay),"莉莉丝·安斯兰(cosplay)"
liliya_olenyeva,"莉莉娅·奥莱尼耶娃"
lilka_eleniak,"莉卡·埃莱尼亚克"
lillian_girls'_academy_uniform,"莉莲女子学院制服"
lillie_(pokemon),"莉莉(宠物小精灵)"
lilligant,"利利甘特"
lillipup,"小利浦"
lillithlauda,"莉莉丝劳达"
lillly,"礼来公司"
lily_(artist),"百合(艺术家)"
lily_(flower),"百合(花)"
lily_(gentsuki),"百合(gentsuki)"
lily_(granblue_fantasy),"百合(碧蓝幻想)"
lily_(vocaloid),"百合(vocaloid)"
lily_black,"百合黑"
lily_bloomerchen,"百合布卢默陈"
lily_of_the_valley,"铃兰"
lily_pad,"睡莲"
lily_white,"百合白"
lim_jaejin,"林在进"
limbus_company,"边缘公司"
lime_(fruit),"酸橙(水果)"
lime_(saber_j),"石灰(军刀j)"
lime_slice,"青柠片"
limeblock,"石灰块"
limgae,"利盖"
limited_palette,"色块风格,限量调色板"
limiter_(tsukumo_sana),"限制器(tsukumosana)"
lin_(breath_of_fire),"林(火的气息)"
lin_yuhsia_(arknights),"林雨霞(方舟)"
lina_(michihasu),"莉娜(michihasu)"
lina_davis,"莉娜戴维斯"
lina_inverse,"丽娜逆"
lina_kontiola,"莉娜康蒂奥拉"
linda,"琳达"
lindaroze,"林达罗兹"
linde_(fire_emblem),"林德(火徽)"
lindy_harlaown,"林迪·哈劳恩"
line-up,"一排人"
line_(naver),"线(naver)"
line_art,"线条艺术"
linea_alba,"白线"
lineage_2,"血统2"
linear_hatching,"线性影线"
lineart,"线稿"
lineography,"线形图"
lineup,"人物排成一排,阵容"
ling_(arknights),"玲(方舟)"
ling_xiaoyu,"凌晓宇"
ling_yao,"凌遥"
lingerie,"女用贴身内衣裤"
lingshalan,"灵莎兰"
linhardt_von_hevring,"林哈特·冯·赫夫林"
lining_of_paintings,"绘画衬里"
link,"链接"
link_(cosplay),"链接(角色扮演)"
linked_collar,"连接项圈"
linked_piercing,"连环穿孔"
linmiee,"林米"
linne,"林恩"
lino_chang,"林诺昌"
lio_fotia,"里奥福蒂亚"
lion,"狮子"
lion_(kemono_friends),"狮子(kemono朋友)"
lion_boy,"狮子男孩"
lion_costume,"狮子服装"
lion_dance,"舞狮"
lion_ears,"狮子耳朵"
lion_girl,"狮子女孩"
lion_tail,"狮子尾巴"
lip_biting,"咬唇"
lip_piercing,"唇环"
lipgloss,"唇彩"
lipps_(idolmaster),"lipps(偶像大师)"
lips,"嘴唇"
lipstick,"口红/唇膏"
lipstick_mark,"口红标记"
lipstick_ring,"口红戒指"
lipstick_tube,"口红管"
liquid,"液体"
liquid_clothes,"液体衣物"
liquid_hair,"液体头发"
liquid_snake,"液体蛇"
liquor,"白酒"
liru,"里如"
lisa_(genshin_impact),"丽莎(原神)"
lisa_(ponyo),"丽莎(ponyo)"
lisa_lisa,"丽莎丽莎"
lisbeth,"莉丝贝丝"
lisbeth_(sao-alo),"利斯贝斯(圣阿洛)"
lisia_(pokemon),"莉西亚(口袋妖怪)"
lisianthus,"桔梗"
liskarm_(arknights),"liskarm(方舟之夜)"
lissa_(fire_emblem),"丽莎(火徽)"
listen!!,"听！！"
listener_(inugami_korone),"听众(犬神可音)"
listening_to_music,"听音乐"
lit_fuse,"点燃保险丝"
lithuania_(hetalia),"立陶宛(黑塔利亚)"
litten,"点燃"
little_bel_(azur_lane),"小贝尔(碧蓝航线)"
little_blue_(guin_guin),"小蓝(guinguin)"
little_blue_whale_(kancolle),"小蓝鲸(舰娘)"
little_boy_admiral_(kancolle),"小男孩海军上将(舰娘)"
little_busters!,"小克星！"
little_cocon_(umamusume),"小椰子(umamusume)"
little_girl_admiral_(kancolle),"小女孩海军上将(舰娘)"
little_girl_saniwa_(touken_ranbu),"小女孩saniwa(刀剑乱舞)"
little_mac,"小苹果"
little_match_girl,"火柴小姑娘"
little_nuns_(diva),"小修女(diva)"
little_princess,"小公主"
little_red_riding_hood,"小红帽"
little_red_riding_hood_(grimm),"小红帽(格林)"
little_red_riding_hood_(grimm)_(cosplay),"小红帽(grimm)(cosplay)"
little_witch_academia,"小魔女学园"
little_witch_nobeta,"小魔女nobeta"
littorio_(azur_lane),"littorio(碧蓝航线)"
littorio_(kancolle),"littorio(舰娘)"
litwick,"立特威克"
liu_lan,"刘兰"
liu_liaoliao,"刘辽辽"
lium,"锂"
liumang_tu_shua_p_zhan,"流氓兔刷p站"
live_a_hero,"活出英雄"
live_for_the_funk,"为放克而活"
livestream,"直播"
living_clothes,"活体衣服,生活服"
living_hair,"活头发"
living_room,"客厅"
liya,"莉亚"
liz_to_aoi_tori,"丽兹到葵花鸟"
lizard,"蜥蜴"
lizard_tail,"蜥蜴尾巴"
lizardman,"蜥蜴人"
lize_helesta,"丽泽赫莱斯塔"
lkeris,"克利斯"
llenn_(sao),"伦(圣)"
lloule,"卢勒"
llowoll,"洛沃尔"
lloyd_bannings,"劳埃德禁令"
lloyd_irving,"劳埃德·欧文"
lm_(legoman),"lm(乐高人)"
lo_xueming,"罗学明"
load_bearing_equipment,"承重设备"
load_bearing_vest,"承重背心"
loaded_interior,"装载内部"
loading_(verjuice),"加载(果汁)"
loading_screen,"加载屏幕"
loaf_of_bread,"一条面包"
loafers,"乐福鞋平底便鞋"
loba_(apex_legends),"loba(顶点传奇)"
lobelia_(saclia),"半边莲(saclia)"
lobo_(fate),"路宝(fate)"
lobotomy_corporation,"脑叶切除术公司"
lobster,"龙虾"
loch_ness_monster_,"尼斯湖水怪"
lock,"锁"
lock_cole,"锁芯"
locked_arms,"锁臂"
locked_slide,"锁定幻灯片"
locker,"储物柜"
locker_room,"公共更衣室"
locket,"挂坠盒"
lockheart,"锁心"
lockon_stratos,"锁定斯特拉托斯"
lococo:p,"疯子：p"
locomotive,"机车"
locon,"定位器"
lodbyy,"洛比"
loen,"卢恩"
log,"日志"
log_horizon,"日志视野"
log_pose,"日志姿势"
logan_cure,"洛根治愈"
logix_ficsario,"逻辑小说"
logo_parody,"标志模仿"
loincloth,"腰布,缠腰布"
loincloth_lift,"缠腰布升降机"
loki_(fire_emblem),"洛基(火徽)"
loki_(marvel),"洛基(奇迹)"
lokman_lam,"林洛克曼"
loli,"萝莉"
loli_bushi,"萝莉布施"
lolibaba,"罗利巴"
loliconder,"萝莉康德"
lolidom,"萝莉达"
lolimate,"洛里马特"
lolita,"洛丽塔风格"
lolita_channel,"洛丽塔频道"
lolita_fashion,"洛丽塔时尚"
lolita_hairband,"洛丽塔发带"
lollipop_chainsaw,"棒棒糖电锯"
lomocya,"洛莫西亚"
lomography,"lomography,Lomography"
london,"伦敦"
london_inu,"伦敦犬"
lone_nape_hair,"孤颈头发"
lonely,"孤独"
long-exposure,"长曝光"
long_arms,"长臂"
long_bangs,"长刘海"
long_beard,"长胡子"
long_braid,"侧马尾,长辫子"
long_coat,"长外套"
long_dress,"长连衣裙,长裙"
long_earlobes,"长耳垂"
long_eyebrows,"长眉毛"
long_eyelashes,"长睫毛"
long_fingernails,"长指甲"
long_fingers,"长手指"
long_hair,"长发"
long_hoodie,"长连帽衫"
long_horns,"长角"
long_island_(azur_lane),"长岛(碧蓝航线)"
long_labia,"长阴唇"
long_legs,"大长腿"
long_neck,"长脖子"
long_nipples,"长乳头"
long_nose,"长鼻子"
long_pointy_ears,"尖尖的长耳朵"
long_ribbon,"长丝带"
long_scarf,"长围巾"
long_shirt,"长衬衫"
long_sideburns,"长鬓角"
long_sleeve,"长袖"
long_sword,"长剑"
long_tail,"长尾"
long_toenails,"长脚趾甲"
long_tongue,"长舌头"
longma,"龙马"
look-alike,"长得像"
looking_afar,"远眺,远远望去"
looking_ahead,"展望未来"
looking_aside,"看向侧面"
looking_at_animal,"看着动物"
looking_at_another,"看着另一个人,盯着另一人"
looking_at_breasts,"看着胸,瞄着乳房,看着乳房"
looking_at_food,"看食物"
looking_at_hand,"看着手"
looking_at_mirror,"看着镜子,照镜子"
looking_at_object,"看着对象"
looking_at_penis,"看着阴茎"
looking_at_phone,"看着手机,看手机"
looking_at_screen,"看着屏幕"
looking_at_viewer,"看着镜头,看向阅图者,看着观众"
looking_away,"看向别处,看着别处"
looking_back,"回头看,回眸"
looking_down,"往下看,俯视,向下看"
looking_outside,"向外看"
looking_over_eyewear,"看着眼镜"
looking_over_glasses,"透过眼镜看"
looking_through_legs,"透过腿看"
looking_to_the_side,"看向一边"
looking_up,"仰视,抬头看"
looney_tunes,"乐一曲"
looped_braids,"环状辫子"
looping_animation,"循环动画"
loose_belt,"松紧带"
loose_bikini,"宽松比基尼"
loose_bowtie,"宽松的领结"
loose_necktie,"宽松领带"
loose_shirt,"宽松衬衫"
loose_socks,"泡泡袜,宽松的袜子"
loose_thighhigh,"宽松的大腿袜"
loped,"倾斜"
lopunny,"笨蛋"
lor_(roasyerizyonirapi),"洛尔(roasyerizyonirapi)"
lora_(xenoblade),"劳拉(异形之刃)"
loran_cehack,"罗兰切哈克"
lord's_blade_ciaran,"领主之刃ciaran"
lord_camelot_(fate),"卡莱洛特勋爵(fate)"
lord_el-melloi_ii,"埃尔梅洛伊二世"
lord_el-melloi_ii_case_files,"el-melloi勋爵ii案卷"
lord_knight_(ragnarok_online),"骑士勋爵(仙境传说在线)"
lord_of_heroes,"英雄之王"
lord_of_the_mysteries,"诡秘之主"
lord_of_vermilion,"朱红之主"
lord_of_vermilion_iii,"朱红领主三世"
lordgenome,"主基因组"
lordol,"洛多尔"
lorelei_(pokemon),"罗蕾莱(宠物小精灵)"
loremaster_(helltaker),"loremaster(地狱猎手)"
lorenz_hellman_gloucester,"洛伦兹赫尔曼格洛斯特"
lossy-lossless,"有损-无损"
lost_technology,"丢失的技术"
lost_universe,"失落的宇宙"
lotad,"很多"
lotion,"乳液"
lotion_bottle,"乳液瓶"
lotosu,"乐透"
lots_of_laugh_(vocaloid),"很多笑声(vocaloid)"
lotte_jansson,"乐天杨森"
lotte_no_omocha!,"乐天没有omocha!"
lotus,"莲花"
lotus_pedestal,"莲花座"
lotus_position,"盘腿坐且腿放在脚上"
louise_(touhou),"路易丝(东方)"
louise_francoise_le_blanc_de_la_valliere,"路易丝·弗朗索瓦·勒布朗·德拉瓦利埃"
louise_halevy,"路易丝·哈利维"
lounge_chair,"休闲椅"
loungewear,"休闲服,家居服"
love_cacao,"爱可可"
love_guitar_rod,"爱吉他杆"
love_hina,"爱中国"
love_hotel,"情趣酒店"
love_lab,"爱实验室"
love_laika_(idolmaster),"爱莱卡(偶像大师)"
love_letter,"情书"
love_live!,"爱生活！"
love_live!_nijigasaki_high_school_idol_club,"爱生活！nijigasaki高中偶像俱乐部"
love_live!_school_idol_festival,"爱生活！学园偶像祭"
love_live!_school_idol_project,"爱生活！学园偶像项目"
love_live!_sunshine!!,"爱生活！阳光！！"
love_live!_sunshine!!_the_school_idol_movie_over_the_rainbow,"爱生活！阳光！！彩虹上的校园偶像电影"
love_live!_superstar!!,"爱生活！超级巨星！！"
love_plus,"爱加"
love_train,"爱情火车"
